Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
878,9.1904,52,0.12,-2687.23,4184.78,8
880,9.46359,52,0.12,-2670.08,4184.78,8
882,9.74002,52,0.12,-2652.73,4184.78,8
884,10.0196,52,0.12,-2635.18,4184.78,8
886,10.3024,52,0.12,-2617.43,4184.78,8
888,10.5883,52,0.12,-2599.48,4184.78,8
890,10.8773,52,0.12,-2581.34,4184.78,8
892,11.1693,52,0.12,-2563.02,4184.78,8
894,11.4642,52,0.12,-2544.5,4184.78,8
896,11.7621,52,0.12,-2525.8,4184.78,8
898,12.0629,52,0.12,-2506.92,4184.78,8
900,12.3664,52,0.12,-2487.87,4184.78,8
902,12.6728,52,0.12,-2468.63,4184.78,8
904,12.9819,52,0.12,-2449.23,4184.78,8
906,13.2937,52,0.12,-2429.66,4184.78,8
908,13.6082,52,0.12,-2409.92,4184.78,8
910,13.9252,52,0.12,-2390.02,4184.78,8
912,14.2448,52,0.12,-2369.96,4184.78,8
914,14.5668,52,0.12,-2349.74,4184.78,8
916,14.8913,52,0.12,-2329.38,4184.78,8
918,15.2182,52,0.12,-2308.86,4184.78,8
920,15.5474,52,0.12,-2288.19,4184.78,8
922,15.8789,52,0.12,-2267.38,4184.78,8
924,16.2126,52,0.12,-2246.44,4184.78,8
926,16.5485,52,0.12,-2225.35,4184.78,8
928,16.8865,52,0.12,-2204.13,4184.78,8
930,17.2266,52,0.12,-2182.78,4184.78,8
932,17.5687,52,0.12,-2161.31,4184.78,8
934,17.9128,52,0.12,-2139.71,4184.78,8
936,18.2588,52,0.12,-2117.99,4184.78,8
938,18.6066,52,0.12,-2096.16,4184.78,8
940,18.9563,52,0.12,-2074.21,4184.78,8
942,19.3076,52,0.12,-2052.15,4184.78,8
944,19.6607,52,0.12,-2029.99,4184.78,8
946,20.0154,52,0.12,-2007.73,4184.78,8
948,20.3717,52,0.12,-1985.36,4184.78,8
950,20.7295,52,0.12,-1962.9,4184.78,8
952,21.0888,52,0.12,-1940.35,4184.78,8
954,21.4494,52,0.12,-1917.71,4184.78,8
956,21.8114,52,0.12,-1894.99,4184.78,8
958,22.1748,52,0.12,-1872.18,4184.78,8
960,22.5393,52,0.12,-1849.3,4184.78,8
962,22.905,52,0.12,-1826.34,4184.78,8
964,23.2719,52,0.12,-1803.31,4184.78,8
966,23.6398,52,0.12,-1780.22,4184.78,8
968,24.0087,52,0.12,-1757.06,4184.78,8
970,24.3786,52,0.12,-1733.84,4184.78,8
972,24.7493,52,0.12,-1710.57,4184.78,8
974,25.1209,52,0.12,-1687.25,4184.78,8
976,25.4932,52,0.12,-1663.87,4184.78,8
978,25.8663,52,0.12,-1640.46,4184.78,8
980,26.24,52,0.12,-1617,4184.78,8
982,26.6143,52,0.12,-1593.5,4184.78,8
984,26.9891,52,0.12,-1569.97,4184.78,8
986,27.3645,52,0.12,-1546.41,4184.78,8
988,27.7402,52,0.12,-1522.83,4184.78,8
990,28.1163,52,0.12,-1499.22,4184.78,8
992,28.4927,52,0.12,-1475.6,4184.78,8
994,28.8693,52,0.12,-1451.95,4184.78,8
996,29.2461,52,0.12,-1428.3,4184.78,8
998,29.623,52,0.12,-1404.64,4184.78,8
1000,30,52,0.12,-1380.98,4184.78,8
1000,30,52,0.12,-1380.98,4184.78,8
